commercialNum,name,sectorCode,sectorName,guCode,guName,address,roadCode,roadName,roadAddr
17163092,도전최강달인왕만두,Q,음식,11740,강동구,서울특별시 강동구 고덕동 693,1.17E+11,서울특별시 강동구 고덕로,서울특별시 강동구 고덕로 333
17120456,이때,Q,음식,11440,마포구,서울특별시 마포구 연남동 390-67,1.14E+11,서울특별시 마포구 동교로38안길,서울특별시 마포구 동교로38안길 7
17175350,L.A.D,Q,음식,11440,마포구,서울특별시 마포구 서교동 395-112,1.14E+11,서울특별시 마포구 잔다리로3안길,서울특별시 마포구 잔다리로3안길 23
17175311,제이씨에스푸드,Q,음식,11620,관악구,서울특별시 관악구 신림동 118-33,1.16E+11,서울특별시 관악구 신림로14길,서울특별시 관악구 신림로14길 3
22767534,BYC상신점,D,소매,11710,송파구,서울특별시 송파구 거여동 36,1.17E+11,서울특별시 송파구 오금로,서울특별시 송파구 오금로 527
25258802,윤선생어학원,R,학문/교육,11560,영등포구,서울특별시 영등포구 영등포동 624-20,1.16E+11,서울특별시 영등포구 도영로22길,서울특별시 영등포구 도영로22길 38
23324279,제중건강원,D,소매,11560,영등포구,서울특별시 영등포구 영등포동5가 41-1,1.16E+11,서울특별시 영등포구 영중로14길,서울특별시 영등포구 영중로14길 11-17
24525909,민속악기사,D,소매,11200,성동구,서울특별시 성동구 용답동 142-11,1.12E+11,서울특별시 성동구 용답5길,서울특별시 성동구 용답5길 2
23958280,미리어케이,F,생활서비스,11680,강남구,서울특별시 강남구 역삼동 703-5,1.17E+11,서울특별시 강남구 선릉로93길,서울특별시 강남구 선릉로93길 54
15554136,김선희꼼꼼국어교습소,R,학문/교육,11710,송파구,서울특별시 송파구 방이동 197-3,1.17E+11,서울특별시 송파구 위례성대로12길,서울특별시 송파구 위례성대로12길 31
15491724,개별용달,F,생활서비스,11545,금천구,서울특별시 금천구 시흥동 5-13,1.15E+11,서울특별시 금천구 독산로50길,서울특별시 금천구 독산로50길 89
17174175,비지트,Q,음식,11650,서초구,서울특별시 서초구 방배동 854-18,1.17E+11,서울특별시 서초구 동광로18길,서울특별시 서초구 동광로18길 82
17174119,쓰리에프,Q,음식,11590,동작구,서울특별시 동작구 사당동 139-72,1.16E+11,서울특별시 동작구 동작대로27가길,서울특별시 동작구 동작대로27가길 12
17174096,채움,Q,음식,11110,종로구,서울특별시 종로구 수송동 58,1.11E+11,서울특별시 종로구 삼봉로,서울특별시 종로구 삼봉로 81
17174062,호구의주방,Q,음식,11560,영등포구,서울특별시 영등포구 양평동4가 160-2,1.16E+11,서울특별시 영등포구 선유로,서울특별시 영등포구 선유로 269
17174040,다향,Q,음식,11650,서초구,서울특별시 서초구 서초동 1485-3,1.17E+11,서울특별시 서초구 효령로,서울특별시 서초구 효령로 230
25530299,고향생막걸리,Q,음식,11680,강남구,서울특별시 강남구 신사동 615-1,1.17E+11,서울특별시 강남구 압구정로,서울특별시 강남구 압구정로 216
21938782,무비디자인,R,학문/교육,11440,마포구,서울특별시 마포구 노고산동 107-17,1.14E+11,서울특별시 마포구 백범로,서울특별시 마포구 백범로 8
24590384,우신타이어,D,소매,11260,중랑구,서울특별시 중랑구 묵동 161-23,1.13E+11,서울특별시 중랑구 중랑역로,서울특별시 중랑구 중랑역로 275
22795034,든든한우家,Q,음식,11650,서초구,서울특별시 서초구 서초동 1591-11,1.17E+11,서울특별시 서초구 반포대로16길,서울특별시 서초구 반포대로16길 30
20737410,두인토탈인테리어,D,소매,11680,강남구,서울특별시 강남구 논현동 22,1.17E+11,서울특별시 강남구 강남대로146길,서울특별시 강남구 강남대로146길 28
22370147,연세공인중개사사무소,L,부동산,11380,은평구,서울특별시 은평구 역촌동 17-15,1.14E+11,서울특별시 은평구 진흥로,서울특별시 은평구 진흥로 101
23095376,용산시스템,D,소매,11215,광진구,서울특별시 광진구 자양동 801,1.12E+11,서울특별시 광진구 아차산로40길,서울특별시 광진구 아차산로40길 28
23991927,NOV스튜디오,D,소매,11290,성북구,서울특별시 성북구 성북동 230-1,1.13E+11,서울특별시 성북구 성북로,서울특별시 성북구 성북로 132-1
24993471,88ST,D,소매,11440,마포구,서울특별시 마포구 동교동 197-15,1.14E+11,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 88
20536992,이삭토스트,Q,음식,11470,양천구,서울특별시 양천구 목동 907-17,1.15E+11,서울특별시 양천구 목동동로,서울특별시 양천구 목동동로 379
20537010,씨유수유빨래골,D,소매,11305,강북구,서울특별시 강북구 수유동 57-80,1.13E+11,서울특별시 강북구 삼양로,서울특별시 강북구 삼양로 306
28515853,버츠비코리아,D,소매,11680,강남구,서울특별시 강남구 역삼동 837,1.17E+11,서울특별시 강남구 강남대로,서울특별시 강남구 강남대로 318
