no,code,codename,codetype,codeup
1166,Q,음식,1,NULL
1167,F,생활서비스,1,NULL
1168,D,소매,1,NULL
1169,S,의료,1,NULL
1170,R,학문/교육,1,NULL
1171,N,관광/여가/오락,1,NULL
1172,L,부동산,1,NULL
1173,O,숙박,1,NULL
1174,P,스포츠,1,NULL
1181,Q09,유흥주점,2,Q
1182,Q12,커피점/카페,2,Q
1183,Q07,패스트푸드,2,Q
1184,F09,대중목욕탕/휴게,2,F
1185,Q03,일식/수산물,2,Q
1186,Q04,분식,2,Q
1187,Q01,한식,2,Q
1188,D01,음/식료품소매,2,D
1189,D10,건강/미용식품,2,D
1190,D02,선물/팬시/기념품,2,D
1191,Q06,양식,2,Q
1192,Q02,중식,2,Q
1193,D03,종합소매점,2,D
1194,S01,병원,2,S
1195,D16,화장품소매,2,D
1196,R04,학원-어학,2,R
1197,D05,의복의류,2,D
1198,N01,PC/오락/당구/볼링등,2,N
1199,Q10,별식/퓨전요리,2,Q
1200,R03,학원-자격/국가고시,2,R
1201,R10,도서관/독서실,2,R
1202,D07,가정/주방/인테리어,2,D
1203,R05,학원-음악미술무용,2,R
1204,N02,무도/유흥/가무,2,N
1205,F01,이/미용/건강,2,F
1206,D18,사진/광학/정밀기기소매,2,D
1207,F02,세탁/가사서비스,2,F
1208,Q05,닭/오리요리,2,Q
1209,D13,책/서적/도서,2,D
1210,F17,예식/의례/관혼상제,2,F
1211,F12,광고/인쇄,2,F
1212,R07,학원-예능취미체육,2,R
1213,F04,운송/배달/택배,2,F
1214,Q14,기타음식업,2,Q
1215,L01,부동산중개,2,L
1216,F16,주유소/충전소,2,F
1217,D21,철물/난방/건설자재소매,2,D
1218,R08,유아교육,2,R
1219,F15,주택수리,2,F
1220,D08,사무/문구/컴퓨터,2,D
1221,S02,약국/한약방,2,S
1222,F07,물품기기대여,2,F
1223,F14,자동차/이륜차,2,F
1224,D23,자동차/자동차용품,2,D
1225,D15,가구소매,2,D
1226,F03,개인/가정용품수리,2,F
1227,R01,학원-보습교습입시,2,R
1228,D25,기타판매업,2,D
